en,ja
The plan is for Lisbon to get Marie to give up Cole Foster's location.,リズボンがマリーに コールの居場所を聞き出す
Save changes,変更を保存
- I have to go. - Wait a minute.,もう行かなくては 待て
"Hey, Hank? We got to go now.",ハンク、そろそろ切るわ
♪ Here's to the hearts that ache,どうか乾杯を　心の痛みに
"- What's the location, sir?",住所をお願いします
"No, no.",いや、いや、いいえ。
Good. Tomorrow you will fight alongside your father.,よし　明日は 父の隣だ
"It is to this high purpose that I now call my people at home, and my peoples across the seas, who will make our cause their own.","""自由が脅かされる"" ""世界の秩序と平和のため"" ""国内の皆さん"" ""戦場の皆さんへ"" ""私の言葉を届けます"""
- What's going on?,- 何事だ？
"I don't know, let me look!",医者だけど... とにかく見せろ
Exactly.,ええ
Where's Viktor?,ビクトルはどこにいるんだ？
Fasten your seat belt.,シートベルトを着けてください。
"And of His signs is that the sky and the earth stand by His command, and then, when He calls you forth from the earth, behold, you will come forth.",またかれが，御意志によって，天と地を打ち建てられたのは，かれの印の一つである。そこで，（一声）あなたがたに呼び掛けられると，見るがいい。たちまち大地からあなたがたは（引き）出される。
Hope it works out.,解決することを願うわ
"Oliver, what are you talking about?",オリバー 何の話だ？
I know who I am!,俺は自分が何者か知っている！
- I got this. I got this.,- わかった　やるぞ
- Make your course one-two-zero.,- コース 1 -2
We had no notion of leaving our hometown.,私たちは故郷を離れる考えは全くなかった。
- What happened to him?,- 何があったんだ？
- Dormer here. - How're you holding up?,ー　ドーマーだ ー　大変だね
Hatter's counting on you.,ハッターは君次第だ
And for what?,なぜなんだ？ 奴のためか？
- He will not hesitate to kill you.,殺すのを ためらわないでしょうから
OK.,よし
"Well, yeah, I would, you know, but he don't listen to me.",ええ、ええ、そうしました、でも 話を聴いてくれませんでした。 誰が喋ってるんだ、ダン・ホスキンスか？
You are being watched.,あなたは監視されている
Export: %1 to PostScript,エクスポート: %1 を PostScript へ
"Yeah, I had a dog like that once, except maybe, like, twice as big.",昔 飼っていた犬に似てる 大きさは違うけど
What's your problem?,なにがあった？
His pulse increased.,脈拍が増大してる
"- Hey. Honey, I can't have kids.",ハニー　僕には 子供ができないんだ
"They're friends of Brigettes, she brought them over, she wanted to go to this party...",ブリゲッチが連れてきたのよ。 彼女がパーティーをしたいって...
That is one big pile of shit.,クソも どデカい
"Yeah, not all good.",全然平気じゃない
What was the point of me trying to consider how others felt?,人のことを気にしながら 動いてた あの時間って 何なんだろうなって すごい思う
Do you know why I'm telling you this right now?,なぜ今こんな話を するか分かる？
Come on. How cool is this?,すごいシステムだ
Good.,いいぞ.
I have offered you beliefs,離れている時でも
- Patricia!,- パトリシア！
"Get your head back into the fucking game, Stu!",この忌々しいゲームに向き合うんだ ステュー
"Well, you know how they are.",そんなもんさ だろ？
- Hello?,- ハロー？
"Truth is, I couldn't get it to work.",実は それを作動されられなかった
"In the grand history of the cosmos, more than 13,000 million years old, our Earth is replicated elsewhere.",雄大な宇宙の歴史は １３０億年以上もあります おそらく我々の地球の複製が 他の場所にも存在するのです
Reykjavík,レイキャビクiceland_regions.kgm
"Those of us who never declared, those of us who have powers that have no name, there's only so much we can do, only so much we can handle.",非公表の 名もなき力を持つ― 私達にできる事は 限られてるわ
A lot of young people went to Hawaii this summer.,たくさんの若者が今年の夏ハワイへ行った。
But Izzy -- he wasn't no boy scout either.,イジーはやんちゃだったし
"What do you want me to say, Maggie?",何を知りたいんだ？
I can see that your eyes are a lovely brown.,君の瞳が　きれいな茶色だって 僕には　見えるよ
Erwin Smith's top-secret plan was to capture the Female Titan.,エルヴィン・スミスの極秘作戦 それは 女型の巨人の捕獲であった
"Well, actually, I think the thing I always found frustrating about my mom... is if I tell her something that's going on in my life, her reaction is usually about her.",まあ実際、ママには色々と フラストレーションを感じることもあるけど ボクの人生について話した時に、 彼女の反応は通常... .
See? We are cursed.,呪われてますね
You're so right.,（明信） 分かる　分かるよ
I'm so glad to see you.,会えて嬉しいわ
"Wow, you really wanted to win that election at any cost, and not for the greater good, but for yourself.",あなたは何が何でも 選挙に勝ちたかった 大義のためじゃない 自分のために
I'm pregnant.,私　妊娠したの
"Dude, you crack me up, man.",笑わせてくれるよ
Eugene!,ユージーン！
You have two hours to get them on the driers.,彼らを乾燥させるまで 二時間ある
Enoki-kun?,榎木くん？
Talking me out of boarding up hell?,地獄行きを 思い止まらせたね？
He can't be.,載れないんだ
The house by the lake is mine.,湖のほとりの家は私の家です。
I prefer to use my hands.,手のほうがいい
I want to meet this girl. Where she at?,会いたいな　どこだ？
- break the speed limit.,- スピード違反でもだ
I don't want this.,俺はあきらめないぞ
Maybe you're not so thorough. Remember the Dawson and Clark account?,君は完璧じゃない この受領書、憶えてないのか？
- Where?,何処に居る?
I find that it helps if you practice on a leg or a collarless neck if you're out of practice.,足で練習すれば役立つと気付く それか練習をやめて 襟なしのもの
"They do not think: ""This is something who gave its life so I would not go hungry. """,こうして食べるのが本来の姿 空腹と向き合い･･
I don't either.,僕もだ
Is it because I don't come around here anymore?,ぁたしガ来なL丶ガらでしょ ?
Understand?,わかった？
"For God's sake, Indy, it's not that hard.",お願いよ、インディ それほど大変じゃないわ。
Holy shit!,聖なるくそ！
Arrows.,こんな無駄な投射
"A little, yeah.",少しはね
That look like a gang tag to you?,ギャングのサインなんじゃないか？
She's gone!,死んだよ！
Follow the shells.,貝をたどれば･･･
The other side!,反対から行け
COLONEL: Mr. President.,大統領
"God, Astrid, I have no time.",アストリドお願い
What?,"何の""あっ""？"
"Actually, no.",いや　俺の上司に電話したいんだが
Jim's parents agreed to his marriage with Susan.,ジムの両親は彼がスーザンと結婚するのに賛成した。
- To the one that the young lady wants.,- ご都合の時に
"You, too.",君も
"Heh, heh.",- 大体ね
♪ I like it ♪,-huh♪ ♪ I like it ♪
I don't think I can handle any of it without him.,トムの居ない生活なんて 私には考えられない
Join or die.,共に組むか それとも死ぬか
So it looks like you'll be spending a few more decades in prison than you thought.,だから君は　自分が考えてたより 数十年は長く 刑務所の中で過ごすことになりそうだな
"Don't take the car, you'll kill yourself.",‐ 車は止めとけ、死んじまうぞ
Hey.,やあ
"I just want to get him through tomorrow, safely.",無事に明日を 乗り切りたいだけだ
The milk's gone off and the washing's started to smell.,牛乳は腐ってるし 洗濯物は臭ってる
"Yeah, go ahead, shoot a cop, Einstein.",「そうさ、やれるもんなら、やってみろ。
you know what?,ねえ？
Did you not see Tanner sitting here right in front of you?,タナーが目に入らなかった？
I must inform Count Dooku.,ドゥーク伯爵へ報告しなきゃ
Miles of that yellow tape stretched over everything.,現場もテープで確保した
. ..and report back to Earth base on conditions in this sector.,そして、この惑星の報告書を 地球基地に持ち帰ってくれ
"Only she is, um, she is happy in the car.",車の方がいいと
What's going on?,何があったの？
I will miss you.,ここに 君が居れば...
I imagine there's been enough of that.,今まで 十分に 傷ついて来ただろう
That's not a good idea.,賛成できん
How come everybody knew about this before I did?,みんな知ってるわけ？
& Summary below data,小計を表示(S)
We'll pray for you.,あなた達の為に祈るわ
Why wouldn't I?,私が助けに行っちゃおかしい？
Maybe I ..,ジェーンのことさ
We can't. We have a responsibility.,責任があるのよ
Why keep us in the dark about Root and Shaw?,なぜ ルートとショーの事は 秘密にしておく?
Plugged?,つまってるのか？
"Well, um... being held not far from home.",うん・・・ 彼が居る場所は　家から遠くない
Let's just get up with the others.,立ち上がっていきましょ
Oi! What about my tea?,おい　お茶は?
Could you operate in Hungary?,ここで手術したらどうかと考えているんだ
I'm walking out of here.,私は帰るぞ
"If he jumps from that height, his neck will snap.",あの高さから落ちたら首を
The network is down.,ネットワークがダウンしています。
- Dallas is not coming. It's just us.,- ダラスはいない　俺たちだけだ
Errors on execution of scripts.,スクリプトの実行でエラーが発生しました。
It won't happen again.,もうしませんよ
They sealed off their entire country days before the undead attacked man.,国を壁で封鎖した ゾンビ襲撃の前にな
There's like 20 other women here you could fuck.,話してるだけだし ヤれそうな女は ２０人はいるぞ
"- In a sense, we're at the benefit now.",- ある意味、今は恩恵を受けられる
"– Dr. Schultz, I will have you know, there is no one in the nigger fight game that appreciates the value of showmanship more than Monsieur Calvin J. Candie.",知っておいて欲しい 黒人ファイト興業で 俺以上の奴はいない
I'm going to have a siesta.,私は昼寝します。
Second rule?,第二のルールは？
What's the catch?,狙いは何だ？
I need to get to kimura.,木村に話があります
It's what all of your bodies crave.,それはお前の体が切望するものだ
- and we cannot wait for that to happen.,あんな事が起きるのを 待っていられない
I don't know why I'm remembering a life I never lived.,なぜ経験してないことを 憶えているのか分からない
"Listen, he's got you figured out.",-奴は調子づいたぞ
There is something I want.,欲しいものは　あるわ。
"Listen, I count on you to be the ballast in my life.",お前は俺の心の支えだ
I married a brown girl.,私は茶色の女性と結婚した
They already called in the specialist.,既に専門家を呼んでいます
- That's impossible.,気にするな
M.H. M.H. M.H...,M.H... 」
You think they care about you?,君を気に掛けるか？
It's me.,俺だ。
"Bugfixer, coolness",バグ修正、クールさ
They'd had a birthday party in the bar which is why he was so late leaving that night.,そのオーナーが夜遅くに出かけたのは バーで　誕生パーティーをやってたから
You can't!,ダメだ！
Something happened nearly two centuries ago.,２世紀前に何かが起き
- Stupid question,- くだらない質問だ
Oh-ho-ho. Let's play.,相手になるぜ
Never seen a gunshot victim with so much blood left in his body.,撃たれてここまで 出血が少ないことが？
Stu! Stu!,ストゥー！
"Hey, Carrie, we're live.",かかって来ました
It'll be hard on the horses.,ニ人乗りは馬がきついぞ
"Just... have a beer, talk to people. ♪♪",ビール飲んで 人と話せ
Please correct my pronunciation.,どうか発音で誤りがあったら直してください。
"You have your instructions, now get it done.",指図を渡し、それを実行しろ。
I don't trust your word.,私は君の言葉を信じない
"You need to get her warmed up. If you care about her at all, you're gonna do what I say.",あなたに少しでも 赤ちゃんを気遣う心があるなら
I loaded 'em.,僕が装填したんだよ
Tighten up the follow vehicles now.,確実に尾行しろ
"- You're not fine, Chris, all right? Your blood pressure is, like, fucking 170/110. It's like...",血圧が１７０と１１０なのよ 無いわけないわ　クリス
"Easy, easy.",落ち着いて 落ち着いて
He seems to have been rich.,彼は金持ちだったように思えた。
"And from that moment on, I devoted myself to the study of demonology.",その時から悪霊学の研究に 身を捧げた
Now I am calm.,君を見つけられて良かったよ
I've never been very good at talking about feelings or showing you that kind of affection or support.,私は非常に良いことはない 時の気持ちを話す かを示す そのような愛情またはサポートしている。
Whoa!,ウワ！
You poor bear. Do you want me to get some Ben Gay?,薬もらってくる？
"Uh, Kelly wants to invite them too. Oh, we'd hate to impose.",ですが 大勢の場所は─
I'll check around back!,確認した 後ろも見たよ！
"""and of their shadows deep.""",かつての眼差しを
Let the Republic come.,来ればよいじゃん。
"$handle = printer_open(); printer_start_doc($handle, ""My Document""); printer_start_page($handle); $pen = printer_create_pen(PRINTER_PEN_SOLID, 2, ""000000""); printer_select_pen($handle, $pen); $brush = printer_create_brush(PRINTER_BRUSH_SOLID, ""2222FF""); printer_select_brush($handle, $brush); printer_draw_roundrect($handle, 1, 1, 500, 500, 200, 200); printer_delete_brush($brush); printer_delete_pen($pen); printer_end_page($handle); printer_end_doc($handle); printer_close($handle);",lr_y is the lower right y coordinate of the rectangle.
"Demon, you cannot flee!",妖魔 逃がさんぞ！
I can't go without it.,ダメダメ これがないとダメなの
It was a suicide bomber-- a terrorist attack right here in D.C.,自爆テロが このワシントンDCでテロが
Uh... We have a man down.,あー・・・
it was enough to make me understand,期待させるには 私があなたを愛しているだけで十分だった
Single mother. Socially withdrawn.,母子家庭、引きこもり
I had the list of owners and the bank staff files.,保管庫の所有者リストと 銀行の従業員のファイルを突き合わせて
"But you'll see ... not a scratch on it, because, yes...",しかし 寸分違わぬ 仕上がりだと...
"With Chastity and Hope down, there was only one Plastic left.",チャスティティとホープが いなくなり 残るは一人だけ
"It's good that you spend time with your dad, but you should do other stuff too...",お父さんといっしょに時間を過ごすことは いいことだわ でも　あなたには　他にもすべきことがある
♪ I'm pretty sure my old man will ♪,♪ I'm pretty sure my old man will ♪
"Oh, perfect, yay!",完璧っ！
"Deep breaths, Gaston.",深呼吸だ ガストン
That would be too late!,おう　におうか?
Calling all Autobots.,全てのオートボットに命じる
And we're still here.,これからも
"That's me, by the way, hello.",それは僕のことだけど
How do I know that's your real name?,あなたの本名なの？
Good girl.,もう少しの我慢です
Neither. George moore came to see me last night.,昨夜 ムーアが 会いに来ました
I read a lot of e-books. Download 'em all the time.,たくさんの電子書籍とeメールを読むよ
Whenever I'm around someone who's gonna...,そうなりそうな人が そばにいると...
You find the drops?,目薬あった？
"-B 12 the alley, north valley.",B12よ、北の路地よ
"If any death ever had meaning, it was his.",死が尊いものならば 彼の事だ
Let me know how it goes. Mmm. Will you please eat that like a human being,結果は知らせてね おまえ　人間らしく食えないのか？
He laughs best who laughs last.,最後に笑う者が一番よく笑う。
- You're ruling my son out for college now?,大学進学は諦めろと？
I'm just creating my own reality here.,現実に戻れそうだ
It didn't seem relevant.,事件と関係あったのか？
- How'd you get out there?,- どうやって抜け出した？
It's coming back.,戻ってきた
"His humility could be false, part of a strategy to avoid antagonizing an ego-driven opponent.",あの子の謙虚さは嘘ね 自分勝手な相手に敵意を 抱かせない為の戦略ですね
"Or, as I tell my dad, Columbia Pre-Med.",- それかパパに言った通りの コロンビア医大予科に
Good for you.,いいことだ
You're gonna break your old man's heart. If I have to.,奴はイカレ野郎だ！
We will make you better than better.,更にもっと強化します
No one's hunting for me.,だれも僕を探していない
Emily told me...,エミリーに聞いた
What strange.,何かおかしいね？
"Today's the 16th,",今日は、１６日だ
- I think so.,- と思う
"This is the nail salon, right?",これがネイルサロンだ
- You are dead..,-殺してやる
"I mean, you're my best friend, and you've got a friend in me.",親友でもあり、そして・・・ ・・・私がついているぜ
- And this one time you didn't.,今回は 破りましたわ
For the most famous swine in the land!,王国で一番有名な悪党に乾杯！
Super A3,Super A3
And keep in mind your answer reflects how you see our roles relative to each other and the journey of our married life.,ちなみにこれからの役割分担と 結婚生活の道筋をどう考えてるか、その答えにかかってるから。
He controls Pennsylvania. He has influence in the White House. Walker needs the state for reelection...,ウォーカーの再選には ペンシルバニアが...
He's dead.,死んだよ
Hey. How are you doing?,気分は　どうです？
"Enrolling at MIT, based on fraudulent credentials, starting businesses and failing and then running away from the consequences.",経歴を詐称してＭＩＴに入り込み ビジネスを始め失敗して そして逃げ回ってる
West Sulawesi,西スラウェシ州indonesia.kgm
Couple potential sightings in the Mount Whitney area.,"２,３ヶ所　潜伏の候補地が挙がっていて"
They're coming back on line.,- オンラインに戻っている
"There isn't a government on this planet that wouldn't kill to get it and they have,",政府はこの地球に存在しない それを得るために殺さない 彼らは所有してる
Stay in your homes and lock the doors and windows...,-繰り返します 日没後は外出しないように -家にとどまり　ドアや窓の 鍵をしめるように・・
- reminds me of something.,昨日 鼻歌で歌っていた曲に 聴き覚えがある
"'Cause after you passed through, nothing lived.",その心は 「お前の後には草も生えない」
Wine-colored and roughly the shape of dorne.,ワイン色でドーンのような形です
- ...6...,- ６Ｂ...
Set here the brush size to use for simulating the oil painting.,油絵をシミュレートするために使用する筆のサイズを設定します。value of smoothing effect
The Rising Tide is the reason she got an invite.,両方です。
"Whether they have any real value, or are just the numerical ramblings of a math-obsessed madman, is for Harlan to determine.",その数式が本当に価値があるのか それとも 数学に憑りつかれた狂人のただの 数字のたわごとなのか ハーランが決めてくれる
"No indeed! When the earth is ground to powder,",断じていけない。大地が粉々に砕かれる時，
Evolve.,発展する。
I'm good now.,今は大丈夫
Dolores?,ドロレス?
"Ya, that'll...woo...",いい、その調子
You suspect he might be a threat?,彼が脅威になると思いますか？
There's nothing easier.,簡単な事は何もない
Those damns!,あいつらあ ！
Nonsense! She killed him!,馬鹿言うな　彼女が殺したんだ
Disappeared how?,失踪時の状況は？
"Welcome, my dear.",よく来てくれたわ 恐がることはないのよ
When?,（雄基）あっ 言ってないっけ？ （慎）いつ？
Men who would turn around and publicly shame me for being the immoral one.,掌を返して私の不道徳さを 公に恥じさせる男
"As for those who preserve themselves from evil and follow the straight path, there is attainment for them:",本当に主を畏れる者には，安全な場所（楽園）がある。
Our plane crashed in the desert. Don't you remember?,飛行機が砂漠に墜落した 覚えてませんか？
Who ordered the helos back to Herat?,誰がヘラート基地にヘリを 引き返させた？
Listen.,聞いて
He blames himself for what happened to Senshi.,センシの事故で 自分を責めている
- You okay?,- 大丈夫？
I just need a minute.,ちょっと時間が欲しいだけだ。
"Every minute, huh?",全部？
I was not able to find out why your brother went to Portland.,なぜ兄弟がポートランドに来たのか 理由がわかりません
Did that happen to you there?,そこで何かあったな？
"Frankly, I like Jane for it.",率直に言って　俺はジェーンがやったと睨んでる
But my husband's fighting there!,でも　私の夫はそこで戦っています!
"I've done things that I'm not proud of, but I love you.",誇りにならない事をした でも 君を愛してる
I just got a call from Joe.,ジョーから電話があった
"OPERATOR: 911, what's your emergency?",911です　どうされましたか？
What's he hiding in there?,そこに　何を隠してるんです？ ジミー・ホッファでもいるのかな？
Lays out the selected widgets horizontally in a splitter,選択したウィジェットをスプリッタの中で水平方向に配置します
That was last week. It could be twice that by now.,先週はね 2倍に増えてるかも
I'm agent Teresa Lisbon. This is Patrick Jane.,私は　テレサ・リズボン捜査官 こちらは　パトリック・ジェーン
And you would be a wonderful father.,素晴らしい父親になる
There are very few passengers in the train.,その列車の乗客はほんの僅かしかいなかった。
"You'll never get in, looking like this!",これじゃ入れんな！
"Let's make this like Star Trek, okay?",これを「スター・トレック」風にやろう
Yeah. I'll call you later.,うん　後で電話するよ
- Yup. And he was right.,- その通りになったわ
This place is only temporary.,ここは仮の宿だ
So shut your frickin' turd hole and grab your dead buddy's legs.,下らん話は、やめて 死んだ仲間の足を掴め
A window is maximized,ウィンドウが最大化されましたName
"You were also friends, correct?",今 言える事は フォネグラ刑事が
"You make him miss, make him pay. All right?",ミスを誘うんだ　代償を払わせろ いいな？
My memory's not what it was earlier.,記憶が違ったみたいだ
You obviously did more than talk.,お前は話し過ぎのようだな
"Let's go, move!",逃げるぞ！
"And give to the orphans their property, and do not substitute worthless (things) for (their) good (ones), and do not devour their property (as an addition) to your own property; this is surely a great crime.",孤児たちの財産を返還しなさい。（自分の）悪いものを，（かれらの）良いものと替えてはならない。またかれらの財産をわがものにしてはならない。誠にそれは大罪である。
"Yeah, that's pretty good.",・・さすがだよ そこまで
What are you talking about?,- 何の話？
"Well, how am I supposed to just leave him out here?",どうやったら 彼を忘れられるの？
He said he had the location we needed.,会社の本部の場所を知ってると言ってた。
Skripach!,バイオリン弾き！
"Some of the tribes around here, they thought that the first people were wolves transformed into men.",ある種族は 祖先が　オオカミの化身だと 考えていた
"You don't want to relive that. No, that's bad.",いやいや　もう十分だ
Yeah?,「なんだい？ 」
Not all of them.,皆ではないわ
You mean he could have left here any time he wanted?,外出も自由だったの？
This is not how we do business. I'm sorry.,我々が出来る取引の方法じゃない スミマセン
"That is because those who disbelieve follow falsehood, and those who believe follow the truth from their Lord. Thus does Allah present to the people their comparisons.",それも，信仰しない者が虚偽に従い，信仰する者が主からの真理に従うためである。このようにアッラーは，人びとのために比喩により（教えを）説かれる。
Jane's talking to the local P.D.,ジェーンは　地元警察と話をしてる
"Look, I know what you are.",正体を知っている
Are you okay?,大丈夫かい？
So...,それで... .
My sword is yours in victory and defeat.,負けるときも勝つときも 我が剣はあなたの物です
I'm not one of those.,僕は違う
Do it.,やれ
How do you know that?,-どうしてわかる？
- Your dad sell aluminum siding?,お父さんは？
"Stan, Ivar, his cousins, our Glendale people.",スタン　イバー　従姉弟 グレンデールの奴ら
Stop.,ストップ!
"She was doing a booming business, and you wanted to be part of it, maybe a little too much.",彼女のビジネスは　どんどん伸びてた あなたは　それに自分も加わりたかった その気持ちが大きくなり過ぎたのかも
- Three days.,- 3日以内です
- give him some time.,. - ちょっと
I used to be thin when I was young.,若い頃はやせていたんだよ。
"There's no need for threats, Ms. Groves.",脅威は必要ない　ミス・グローブス
Looks like her last trip was four months ago when she disappeared.,失踪したのは ４ヵ月前じゃないのか？
I'm not giving up on another little boy.,もう1人の 少年に諦めがつかない
"Come on, baby!",おいで　いい子だから
I found myself prone to reflection.,嘔吐していなかった時は いつも考え込んでいて
"Maybe we should go back to the warehouse, find another way.",倉庫に戻り 違う道を探したほうがいいかも。 他の通路がない。
"Where? I didn't see her, but I know she's here.",- 見てないけどココにいる
"- Thanks, but we're not staying.",- 世話にはならないわ
I'll be interested to hear what you discover.,それは興味深いな
What a comment! For the first time in my life.,そんなこと 生まれて初めて言われた
Marty?,Marty?
"No, I'm - - I'm sorry. I got excited.",いや　すまん　つい興奮した
Let me connect you to a non-emergency operator.,非緊急オペレータに 接続しましょう
"Ladies and gentlemen,",お集りの皆さん
I didn't hear anything.,何も聞こえない
And I should be grateful?,恩に着ろって？
Filename,ファイル名@action:inmenu
"Yes, but my father was a piano mover, so....",おやじがピアノ運送業でね
Alien lanes.,エイリアン・レーンズです
There was someone else...,何者かが
And it'll be my treat.,俺が払うよ。
It revealed you to be weak.,お前が弱いことを明らかにした
- I'll leave you alone.,失礼するよ
"It's just for one night, Miles.",一晩だけだよ　マイルズ
I guess. I never really thought about it.,そう　そんなこと考えたこともなかったわ
Dopamine level's at 20%.,ドーパミンレベル20％
"The darkness is almost here, John.",悪は ここにある
"Dude, that was awesome!",最高だ！
Now who's our boy?,それで　私達の番号は誰？
"Just like her father, great man no doubt.",父が偉大であったのは 疑いないが
"or [lest] you should say, ‘If the Book had been sent down to us, surely we would have been better-guided than them.’ There has already come to you a manifest proof from your Lord and a guidance and mercy. So who is a greater wrongdoer than him who denies the signs of Allah, and turns away from them? Soon We shall requite those who turn away from Our signs with a terrible punishment because of what they used to evade.",またあなたがたに「もしわたしたちに啓典が下されたならば，きっとかれらよりもよく導きに従ったであろうに。」と言わせないためである。今あなたがたの主からの明証，と導きと慈悲とが正に(湾?)されている。それでもアッラーの印を偽りであるとして，それから背き去る以上に甚しい不義の徒があろうか。わが印から背き去った者を，われはやがて背き去ったことのために，厳しい懲罰で報いるであろう。
"- Yeah, wasn't really a guide.",- 正式なガイドじゃなかった
"If I may, we just imported a beautiful Brunello di Montalcino.",よろしければ　届いたばかりの 素晴らしいブリュネロ・ディ・モンタルチーノは いかがでしょう？ ねぇ　マフィアは何を飲むのかな？
Is she serious?,興味あるのか？
"No, no. I am strictly a one-woman guy.",僕は君だけさ
mr. Bauer?,バウアーか?
The pulse just knocked the rat uncon... scious.,「抗血清」はマウスのウイルスをやっつけた・・・
To wage a war and this time win...,戦争の報いとして 勝利を得て
"In case the shipment is delayed, we have special delay insurance.",荷物が遅れた場合、特別なＤ—Ｉ（連帯保険）がある。
"Whosoever obeys the Messenger, thereby obeys God; and whosoever turns his back - We have not sent thee to be a watcher over them.",使徒に従う者は，まさにアッラーに従う者である。誰でも背き去る者のために，われはあなたを見張り人として遺わしたのではない。
You know what? I have to take this.,あの　これに出なくては　ならないので
"Hey, if you want to go back to can design, you know where the door is.",- 悲鳴缶のデザインをしたいのか？ 帰り道は向こうだぞ
"Fantastic, Larry, fantastic!",素晴らしい！ 素晴らしいよ！
"Ha, not a lot of snow in Alabama.",アラバマには あまり雪が降らないの
"I'm Mindy's friend, Carmen.",私はミンディーの友人 カルメンです
I wouldn't know where to begin.,どうすればいいか 分かんないけど
I was brought to tears.,私は涙を流した。
-How many's that?,- 何人だ？
But that's a very rare case. Right?,（吉森） でも それは稀な ケースですよね ？
It's the safe play.,その必要ある？
Lauda has the lead right now! He leads into the first corner!,ラウダが先頭で 最初のコーナーを立ち上がる
"As such We have revealed to you an Arabic Koran, so that you can warn the Mother of Villages (Mecca) and all who live about it, and that you also warn them of the Day of Gathering in which there is no doubt that a division will be in Paradise, and a division in the Blaze.",このようにアラビア語でクルアーンをあなたに啓示したのは，あなたが諸都市の母と，その周辺の者に警告し，また疑いの余地のない召集の日に就いて，（かれらに）警告を与えるためである。（その日）一団は楽園に，また一団は業火の中に（入ろう）。
"Well done, brother.",よく出来ています
Poor Miss Bingley.,ミス・ビングリーが可哀想
- at the same time as you.,- 君と同じときだ
right button,右ボタンa nonexistent value of mouse button
This is our daughter's home.,娘は　どうするの？
"Your mother, Lara, and I were a product of the failures of our world as much as Zod was tied to its fate.",お前と違って我々は 運命に縛られている
You know my days are so busy.,あなたは私の日忙しく知っている。
I must be... something else.,ならなければならない... 他の誰かに
- In position,- 位置についた
Kellog wants what's best for Kellog.,彼は自分の都合だけよ
No.,出来ない
